nombre	nombreComisario	correoElectronico	nombreInspector	numeroInspeccionPolicia	correoInspector	direccionInspeccionPolicia	nombrePersonero	telefonoContactoPersoneria	correoPersonero	direccionPersoneria
El Tarra	Diosemiro Bautista Ascanio	comisaria @eltarra-nortedesantander.gov.co	Diosa Esmith Contreras Santos		inspecpolic@eltarra-nortedesantander.gov.co	Calle14 6-45 Barrio Junta Central, segundo piso	Jerson Andrey Figueroa		personeria@eltarra-nortedesantander.gov.co	Calle14 6-45 Barrio Junta Central, segundo piso
Herrán	Luz Yaneth Quintana Parada	comisariadefamilia@herran-nortedesantander.gov.co	Gilson Rolando Lagos Valero		inspeccionpolicia@herran-nortedesantander.gov.co	calle 6 No. 3 - 29	Anderson Fabian Gonzáles Serrano		personero@personeria-herran.gov.co	calle 6 No. 3 - 29
OCAÑA	ANDREA JULIANA NUMA	comisaria@ocana-nortedesantander.gov.co	Antonio Acosta		inspeccion1@ocana-nortedesantander.gov.co	Palacio Municipal Ocaña, Norte de Santander	JORGE ARMANDO BOHORQUEZ LANZIANO		personeriamunicipal@ocana-nortedesantander.gov.co	Calle 10 No 11-78 Piso 3
LABATECA	MARLY YANETH GARCÍA GARCÍA	comisaria@labateca-nortedesantander.gov.co	ABELINO GARCÍA MENDOZA		inspeccionpolicia@labateca-nortedesantander.gov.co	CARRERA 2 #4-37 BARRIO DIVINO NIÑO, PALACIO MUNICIPAL, SEGUNDO PISO	DR. MARIO ALONSO CORREDOR SANDOVAL		personeria@labateca-nortedesantander.gov.co	CARRERA 2 #4-37 BARRIO DIVINO NIÑO, PALACIO MUNICIPAL, SEGUNDO PISO
BOCHALEMA	KRISTHELL KAREM GARCIA VARGAS	secdespachocomisaria@gmail.com	Elizabeth Cáceres Melo		elicame75@yahoo.es	Palacio municipal de Bochalema frente al parque principal, primer piso	Donner Melgarejo		personeria@bochalema-nortedesantander.gov.co	Palacio Municipal de Bochalema, Primer piso
Ábrego										
Bucarasica										
Cácota										
Cáchira										
Chinácota										
Chitagá										
Convención										
Cúcuta										
Cucutilla										
El Zulia										
Gramalote										
Los Patios										
Lourdes										
Mutiscua										
Pamplona										
Pamplonita										
Ragonvalia										
Santiago										
Sardinata										
Silos										
Toledo										
Villa Caro										
